dhcp-rhodes-2660:~ BboyKellen$ /System/Library/Frameworks/JavaScriptCore.framework/Versions/Current/Resources/jsc /Users/BboyKellen/Downloads/TetrisFinal/tetris_train/trainArtificial.js 
--> rows removed: 0 for weights: -99.19774360023439, 31.995304254814982, 31.5768389031291, -61.391616659238935, -3.4883872605860233, 39.06597909517586
--> rows removed: 0 for weights: 66.23817477375269, -35.40118504315615, -7.888881908729672, -69.47912625037134, -17.21236607991159, 19.970596581697464
--> rows removed: 0 for weights: -97.97554519027472, -16.946319118142128, -2.5315385311841965, -18.002310255542397, -28.50058409385383, 28.124404000118375
--> rows removed: 1 for weights: -19.304584991186857, 76.96672626771033, 90.5895845964551, 68.82280968129635, -69.71555263735354, -89.54613422974944
--> rows removed: 0 for weights: 52.446208940818906, -3.1370172277092934, -8.58506322838366, 39.687090180814266, -56.779257860034704, -32.14519275352359
--> rows removed: 41 for weights: -36.95753398351371, 35.85261316038668, 57.50955999828875, -75.31258082017303, -82.4478670489043, -83.01412910223007
--> rows removed: 2 for weights: 87.18512929044664, -27.48596416786313, -39.75456184707582, -14.326815772801638, -95.88651992380619, 11.45447539165616
--> rows removed: 0 for weights: -94.76844654418528, 5.935191549360752, 25.498018320649862, 20.411618379876018, -1.483359420672059, -12.232189672067761
--> rows removed: 0 for weights: 64.62465836666524, -17.25328196771443, -87.2055672109127, -67.37790005281568, -8.760624518617988, 24.249054584652185
--> rows removed: 0 for weights: -49.893343122676015, -34.69866756349802, 28.86034301482141, -38.961083395406604, 77.07557766698301, 32.77231068350375
--> rows removed: 136 for weights: -45.47455916181207, -14.156670868396759, -79.18566656298935, 1.3658337760716677, -74.14088263176382, -56.44942130893469
--> rows removed: 0 for weights: -24.104142980650067, -77.7952803298831, 42.03130076639354, -61.11684450879693, 60.91598221100867, -34.83426435850561
--> rows removed: 12 for weights: -58.79237279295921, 20.077017322182655, -75.49417596310377, -4.712954722344875, 8.690404938533902, -80.04025025293231
--> rows removed: 5 for weights: 57.40352706052363, -43.25392167083919, -73.06943782605231, -35.806078650057316, -80.1046306733042, -10.115332808345556
--> rows removed: 0 for weights: 99.1452552843839, 11.476617865264416, 71.12999861128628, 86.22147873975337, -92.31511298567057, -58.70826761238277
--> rows removed: 0 for weights: 17.453348822891712, 6.011072406545281, 30.994748510420322, 92.18702181242406, -18.801902560517192, 92.2467962373048
--> rows removed: 2 for weights: 61.12145781517029, -18.479399383068085, -58.73735714703798, 37.00465187430382, -77.6860126759857, -22.765743173658848
--> rows removed: 2 for weights: 33.40048100799322, -65.82758715376258, -42.33173723332584, 39.35726978816092, -50.520053785294294, -1.3191889505833387
--> rows removed: 20 for weights: 8.291349140927196, -92.0831595081836, -27.966678701341152, -18.2462218683213, -96.63328658789396, -67.941231187433
--> rows removed: 0 for weights: -58.94883633591235, 38.323291298002005, 2.804683055728674, -41.90094145014882, -11.610182281583548, 11.972968745976686
--> rows removed: 0 for weights: 15.957363182678819, 85.00358606688678, 83.2711651455611, -69.39519611187279, 18.55591107159853, -99.12645984441042
--> rows removed: 0 for weights: 68.44888622872531, -16.645949240773916, 91.56947396695614, 89.11594096571207, 83.49307496100664, -33.16042022779584
--> rows removed: 0 for weights: -58.52885111235082, 17.52308332361281, 74.62252238765359, -81.91558294929564, 54.895083187147975, 33.60817194916308
--> rows removed: 0 for weights: -55.588874500244856, -50.041543412953615, -50.1928654499352, 82.57325114682317, 25.365813309326768, 4.084635525941849
--> rows removed: 0 for weights: 19.15998882614076, -61.71566126868129, -90.03717084415257, 41.47368804551661, 78.59757617115974, 8.32792092114687
--> rows removed: 1 for weights: -28.194487234577537, -73.34820479154587, -40.730912052094936, 25.435646250844, 42.437243508175015, 1.55260288156569
--> rows removed: 0 for weights: 74.57798486575484, -16.02938794530928, 23.15529566258192, -46.263884007930756, -47.88771397434175, -15.096131432801485
--> rows removed: 2 for weights: -47.96981494873762, -31.302314391359687, -41.287846164777875, 5.613852571696043, 60.95681437291205, -21.74092228524387
--> rows removed: 0 for weights: -99.52934146858752, -39.56060414202511, -67.95085966587067, -19.688163278624415, 4.694844456389546, 74.18498285114765
--> rows removed: 0 for weights: -85.48003253526986, 22.944169957190752, 34.42454026080668, -53.602526523172855, 50.94484887085855, 18.68511624634266
--> rows removed: 1009 for weights: -92.93461977504194, 75.14569745399058, -38.03611854091287, -59.56700607202947, -67.37957992590964, -39.59936695173383
--> rows removed: 0 for weights: -32.04859718680382, 93.00908423028886, 66.22942727990448, 0.860545551404357, 86.68713462539017, 4.717131610959768
--> rows removed: 0 for weights: 85.14411277137697, 34.6095101442188, -66.49952428415418, 85.31911079771817, 56.70926375314593, 38.482177862897515
--> rows removed: 2 for weights: -48.53649418801069, -55.13576716184616, 99.77475171908736, -84.68275195918977, -76.32937808521092, -5.948423640802503
--> rows removed: 3 for weights: 72.04510341398418, -31.830011075362563, 76.83521900326014, -61.80947124958038, -42.041468201205134, -68.23485647328198
--> rows removed: 2 for weights: 40.4739951249212, 4.361565271392465, 44.51969866640866, -7.529814122244716, -31.930539663881063, -89.81054830364883
--> rows removed: 0 for weights: -20.552420802414417, -36.9495983235538, 20.67452776245773, -3.9228923618793488, 75.62857139855623, -64.01263945735991
--> rows removed: 0 for weights: -87.56840284913778, 42.044158186763525, 72.8903429582715, -18.65365789271891, 35.05151686258614, -7.563383132219315
--> rows removed: 0 for weights: 65.37609645165503, 27.262831665575504, -36.39593874104321, 86.02978298440576, -35.839566914364696, -1.3959592208266258
